reported_hunt_year,model_target_year,unit,unit_name,species,metric_name,metric_value,source_file,source_page,source_family,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,raw_line
2024,2025,8/9,High Uintas East,Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas East 4 2 3 2 2 2 3 4 2 2
2015,2016,6/7,High Uintas Kamas,Mountain Goat,billy_harvest,5.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,6/7 High Uintas Kamas 5 3 4 5 3 5 6 4 2 2
2016,2017,6/7,High Uintas Kamas,Mountain Goat,billy_harvest,3.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,6/7 High Uintas Kamas 5 3 4 5 3 5 6 4 2 2
2017,2018,6/7,High Uintas Kamas,Mountain Goat,billy_harvest,4.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,6/7 High Uintas Kamas 5 3 4 5 3 5 6 4 2 2
2018,2019,6/7,High Uintas Kamas,Mountain Goat,billy_harvest,5.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,6/7 High Uintas Kamas 5 3 4 5 3 5 6 4 2 2
2019,2020,6/7,High Uintas Kamas,Mountain Goat,billy_harvest,3.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,6/7 High Uintas Kamas 5 3 4 5 3 5 6 4 2 2
2020,2021,6/7,High Uintas Kamas,Mountain Goat,billy_harvest,5.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,6/7 High Uintas Kamas 5 3 4 5 3 5 6 4 2 2
2021,2022,6/7,High Uintas Kamas,Mountain Goat,billy_harvest,6.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,6/7 High Uintas Kamas 5 3 4 5 3 5 6 4 2 2
2022,2023,6/7,High Uintas Kamas,Mountain Goat,billy_harvest,4.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,6/7 High Uintas Kamas 5 3 4 5 3 5 6 4 2 2
2023,2024,6/7,High Uintas Kamas,Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,6/7 High Uintas Kamas 5 3 4 5 3 5 6 4 2 2
2024,2025,6/7,High Uintas Kamas,Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,6/7 High Uintas Kamas 5 3 4 5 3 5 6 4 2 2
2015,2016,8/9,High Uintas Leidy Peak,Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Leidy Peak 2 1 1 1 3 3 3 1 1 1
2016,2017,8/9,High Uintas Leidy Peak,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Leidy Peak 2 1 1 1 3 3 3 1 1 1
2017,2018,8/9,High Uintas Leidy Peak,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Leidy Peak 2 1 1 1 3 3 3 1 1 1
2018,2019,8/9,High Uintas Leidy Peak,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Leidy Peak 2 1 1 1 3 3 3 1 1 1
2019,2020,8/9,High Uintas Leidy Peak,Mountain Goat,billy_harvest,3.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Leidy Peak 2 1 1 1 3 3 3 1 1 1
2020,2021,8/9,High Uintas Leidy Peak,Mountain Goat,billy_harvest,3.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Leidy Peak 2 1 1 1 3 3 3 1 1 1
2021,2022,8/9,High Uintas Leidy Peak,Mountain Goat,billy_harvest,3.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Leidy Peak 2 1 1 1 3 3 3 1 1 1
2022,2023,8/9,High Uintas Leidy Peak,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Leidy Peak 2 1 1 1 3 3 3 1 1 1
2023,2024,8/9,High Uintas Leidy Peak,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Leidy Peak 2 1 1 1 3 3 3 1 1 1
2024,2025,8/9,High Uintas Leidy Peak,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas Leidy Peak 2 1 1 1 3 3 3 1 1 1
2015,2016,8/9,High Uintas West,Mountain Goat,billy_harvest,21.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas West 21 15 9 14 18 16 10 10 9 7
2016,2017,8/9,High Uintas West,Mountain Goat,billy_harvest,15.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas West 21 15 9 14 18 16 10 10 9 7
2017,2018,8/9,High Uintas West,Mountain Goat,billy_harvest,9.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas West 21 15 9 14 18 16 10 10 9 7
2018,2019,8/9,High Uintas West,Mountain Goat,billy_harvest,14.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas West 21 15 9 14 18 16 10 10 9 7
2019,2020,8/9,High Uintas West,Mountain Goat,billy_harvest,18.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas West 21 15 9 14 18 16 10 10 9 7
2020,2021,8/9,High Uintas West,Mountain Goat,billy_harvest,16.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas West 21 15 9 14 18 16 10 10 9 7
2021,2022,8/9,High Uintas West,Mountain Goat,billy_harvest,10.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas West 21 15 9 14 18 16 10 10 9 7
2022,2023,8/9,High Uintas West,Mountain Goat,billy_harvest,10.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas West 21 15 9 14 18 16 10 10 9 7
2023,2024,8/9,High Uintas West,Mountain Goat,billy_harvest,9.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas West 21 15 9 14 18 16 10 10 9 7
2024,2025,8/9,High Uintas West,Mountain Goat,billy_harvest,7.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,8/9 High Uintas West 21 15 9 14 18 16 10 10 9 7
2015,2016,13,"La Sal, La Sal Mtns",Mountain Goat,billy_harvest,,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"13 La Sal, La Sal Mtns — — — 2 3 4 6 7 6 8"
2016,2017,13,"La Sal, La Sal Mtns",Mountain Goat,billy_harvest,,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"13 La Sal, La Sal Mtns — — — 2 3 4 6 7 6 8"
2017,2018,13,"La Sal, La Sal Mtns",Mountain Goat,billy_harvest,,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"13 La Sal, La Sal Mtns — — — 2 3 4 6 7 6 8"
2018,2019,13,"La Sal, La Sal Mtns",Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"13 La Sal, La Sal Mtns — — — 2 3 4 6 7 6 8"
2019,2020,13,"La Sal, La Sal Mtns",Mountain Goat,billy_harvest,3.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"13 La Sal, La Sal Mtns — — — 2 3 4 6 7 6 8"
2020,2021,13,"La Sal, La Sal Mtns",Mountain Goat,billy_harvest,4.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"13 La Sal, La Sal Mtns — — — 2 3 4 6 7 6 8"
2021,2022,13,"La Sal, La Sal Mtns",Mountain Goat,billy_harvest,6.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"13 La Sal, La Sal Mtns — — — 2 3 4 6 7 6 8"
2022,2023,13,"La Sal, La Sal Mtns",Mountain Goat,billy_harvest,7.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"13 La Sal, La Sal Mtns — — — 2 3 4 6 7 6 8"
2023,2024,13,"La Sal, La Sal Mtns",Mountain Goat,billy_harvest,6.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"13 La Sal, La Sal Mtns — — — 2 3 4 6 7 6 8"
2024,2025,13,"La Sal, La Sal Mtns",Mountain Goat,billy_harvest,8.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"13 La Sal, La Sal Mtns — — — 2 3 4 6 7 6 8"
2015,2016,24,Mt Dutton,Mountain Goat,billy_harvest,,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,24 Mt Dutton — — 1 1 1 1 1 1 1 1
2016,2017,24,Mt Dutton,Mountain Goat,billy_harvest,,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,24 Mt Dutton — — 1 1 1 1 1 1 1 1
2017,2018,24,Mt Dutton,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,24 Mt Dutton — — 1 1 1 1 1 1 1 1
2018,2019,24,Mt Dutton,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,24 Mt Dutton — — 1 1 1 1 1 1 1 1
2019,2020,24,Mt Dutton,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,24 Mt Dutton — — 1 1 1 1 1 1 1 1
2020,2021,24,Mt Dutton,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,24 Mt Dutton — — 1 1 1 1 1 1 1 1
2021,2022,24,Mt Dutton,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,24 Mt Dutton — — 1 1 1 1 1 1 1 1
2022,2023,24,Mt Dutton,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,24 Mt Dutton — — 1 1 1 1 1 1 1 1
2023,2024,24,Mt Dutton,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,24 Mt Dutton — — 1 1 1 1 1 1 1 1
2024,2025,24,Mt Dutton,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,24 Mt Dutton — — 1 1 1 1 1 1 1 1
2015,2016,16A,Nebo,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,16A Nebo 1 1 2 10 16 15 15 16 12 17
2016,2017,16A,Nebo,Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,16A Nebo 1 1 2 10 16 15 15 16 12 17
2017,2018,16A,Nebo,Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,16A Nebo 1 1 2 10 16 15 15 16 12 17
2018,2019,16A,Nebo,Mountain Goat,billy_harvest,10.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,16A Nebo 1 1 2 10 16 15 15 16 12 17
2019,2020,16A,Nebo,Mountain Goat,billy_harvest,16.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,16A Nebo 1 1 2 10 16 15 15 16 12 17
2020,2021,16A,Nebo,Mountain Goat,billy_harvest,15.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,16A Nebo 1 1 2 10 16 15 15 16 12 17
2021,2022,16A,Nebo,Mountain Goat,billy_harvest,15.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,16A Nebo 1 1 2 10 16 15 15 16 12 17
2022,2023,16A,Nebo,Mountain Goat,billy_harvest,16.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,16A Nebo 1 1 2 10 16 15 15 16 12 17
2023,2024,16A,Nebo,Mountain Goat,billy_harvest,12.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,16A Nebo 1 1 2 10 16 15 15 16 12 17
2024,2025,16A,Nebo,Mountain Goat,billy_harvest,17.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,16A Nebo 1 1 2 10 16 15 15 16 12 17
2015,2016,3,"Ogden, Willard Peak",Mountain Goat,billy_harvest,21.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"3 Ogden, Willard Peak 21 18 20 16 3 3 1 0 1 0"
2016,2017,3,"Ogden, Willard Peak",Mountain Goat,billy_harvest,18.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"3 Ogden, Willard Peak 21 18 20 16 3 3 1 0 1 0"
2017,2018,3,"Ogden, Willard Peak",Mountain Goat,billy_harvest,20.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"3 Ogden, Willard Peak 21 18 20 16 3 3 1 0 1 0"
2018,2019,3,"Ogden, Willard Peak",Mountain Goat,billy_harvest,16.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"3 Ogden, Willard Peak 21 18 20 16 3 3 1 0 1 0"
2019,2020,3,"Ogden, Willard Peak",Mountain Goat,billy_harvest,3.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"3 Ogden, Willard Peak 21 18 20 16 3 3 1 0 1 0"
2020,2021,3,"Ogden, Willard Peak",Mountain Goat,billy_harvest,3.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"3 Ogden, Willard Peak 21 18 20 16 3 3 1 0 1 0"
2021,2022,3,"Ogden, Willard Peak",Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"3 Ogden, Willard Peak 21 18 20 16 3 3 1 0 1 0"
2022,2023,3,"Ogden, Willard Peak",Mountain Goat,billy_harvest,0.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"3 Ogden, Willard Peak 21 18 20 16 3 3 1 0 1 0"
2023,2024,3,"Ogden, Willard Peak",Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"3 Ogden, Willard Peak 21 18 20 16 3 3 1 0 1 0"
2024,2025,3,"Ogden, Willard Peak",Mountain Goat,billy_harvest,0.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"3 Ogden, Willard Peak 21 18 20 16 3 3 1 0 1 0"
2015,2016,17,"Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos**",Mountain Goat,billy_harvest,4.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"17 Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos** 4 2 4 0 2 2 1 2 0 2"
2016,2017,17,"Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos**",Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"17 Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos** 4 2 4 0 2 2 1 2 0 2"
2017,2018,17,"Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos**",Mountain Goat,billy_harvest,4.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"17 Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos** 4 2 4 0 2 2 1 2 0 2"
2018,2019,17,"Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos**",Mountain Goat,billy_harvest,0.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"17 Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos** 4 2 4 0 2 2 1 2 0 2"
2019,2020,17,"Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos**",Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"17 Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos** 4 2 4 0 2 2 1 2 0 2"
2020,2021,17,"Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos**",Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"17 Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos** 4 2 4 0 2 2 1 2 0 2"
2021,2022,17,"Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos**",Mountain Goat,billy_harvest,1.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"17 Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos** 4 2 4 0 2 2 1 2 0 2"
2022,2023,17,"Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos**",Mountain Goat,billy_harvest,2.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"17 Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos** 4 2 4 0 2 2 1 2 0 2"
2023,2024,17,"Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos**",Mountain Goat,billy_harvest,0.0,"Total billy mountain goat harvest by management unit, Utah 2015 to 2024.pdf",1,Mountain Goat Extra,True,True,True,"17 Wasatch Mtns, Box Elder Peak/Lone Peak/Timpanogos** 4 2 4 0 2 2 1 2 0 2"
