source_file,source_page,hunt_code,hunt_name,totals_line,totals_numbers,res_total_permits,nr_total_permits,total_permits,parse_style
2024 antlerless draw results.pdf,1,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Totals 115 0 24 24 1 in 4.8 Totals 1 0 0 0 N/A,115;0;24;24;1;4;8;1;0;0;0,24,1,25,res_nr_split
2024 antlerless draw results.pdf,2,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Totals 125 0 24 24 1 in 5.2 Totals 1 0 0 0 N/A,125;0;24;24;1;5;2;1;0;0;0,24,1,25,res_nr_split
2024 antlerless draw results.pdf,3,DA1003,"Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgn Only",Totals 291 0 11 11 1 in 26.5 Totals 11 0 1 1 1 in 11.0,291;0;11;11;1;26;5;11;0;1;1;1;11;0,11,11,22,res_nr_split
2024 antlerless draw results.pdf,4,DA1009,"Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon",Totals 1493 0 18 18 1 in 82.9 Totals 156 0 2 2 1 in 78.0,1493;0;18;18;1;82;9;156;0;2;2;1;78;0,18,156,174,res_nr_split
2024 antlerless draw results.pdf,5,DA1011,Cwmu Antlerless Deer - George Creek - Any Legal Weapon,Totals 63 0 4 4 1 in 15.8 Totals 0 0 0 0 N/A,63;0;4;4;1;15;8;0;0;0;0,4,0,4,res_nr_split
2024 antlerless draw results.pdf,6,DA1012,Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon,Totals 498 0 12 12 1 in 41.5 Totals 0 0 0 0 N/A,498;0;12;12;1;41;5;0;0;0;0,12,0,12,res_nr_split
2024 antlerless draw results.pdf,7,DA1013,Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,Totals 160 0 4 4 1 in 40.0 Totals 0 0 0 0 N/A,160;0;4;4;1;40;0;0;0;0;0,4,0,4,res_nr_split
2024 antlerless draw results.pdf,8,DA1018,"Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgn Only",Totals 198 0 14 14 1 in 14.1 Totals 20 0 2 2 1 in 10.0,198;0;14;14;1;14;1;20;0;2;2;1;10;0,14,20,34,res_nr_split
2024 antlerless draw results.pdf,9,DA1027,"Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon",Totals 2379 0 24 24 1 in 99.1 Totals 20 0 0 0 N/A,2379;0;24;24;1;99;1;20;0;0;0,24,20,44,res_nr_split
2024 antlerless draw results.pdf,10,DA1030,"Antlerless Deer - Nine Mile, Price River Valley - Archery",Totals 58 0 23 23 1 in 2.5 Totals 0 0 0 0 N/A,58;0;23;23;1;2;5;0;0;0;0,23,0,23,res_nr_split
2024 antlerless draw results.pdf,11,DA1031,"Antlerless Deer - Oquirrh-stansbury, Settlement Cyn - Archery",Totals 484 0 15 15 1 in 32.3 Totals 4 0 1 1 1 in 4.0,484;0;15;15;1;32;3;4;0;1;1;1;4;0,15,4,19,res_nr_split
2024 antlerless draw results.pdf,12,DA1033,"Antlerless Deer - San Juan, Monticello - Archery",Totals 50 0 4 4 1 in 12.5 Totals 4 0 0 0 N/A,50;0;4;4;1;12;5;4;0;0;0,4,4,8,res_nr_split
2024 antlerless draw results.pdf,13,DA1041,"Antlerless Deer - Nine Mile, Green River Valley - Any Legal Weapon",Totals 202 0 11 11 1 in 18.4 Totals 13 0 1 1 1 in 13.0,202;0;11;11;1;18;4;13;0;1;1;1;13;0,11,13,24,res_nr_split
2024 antlerless draw results.pdf,14,DA1042,"Antlerless Deer - San Juan, Monticello - Archery",Totals 37 0 4 4 1 in 9.3 Totals 5 0 0 0 N/A,37;0;4;4;1;9;3;5;0;0;0,4,5,9,res_nr_split
2024 antlerless draw results.pdf,15,DA1044,Two Doe Antlerless Deer - Myton - Any Legal Weapon,Totals 176 0 39 39 1 in 4.5 Totals 1 0 1 1 1 in 1.0,176;0;39;39;1;4;5;1;0;1;1;1;1;0,39,1,40,res_nr_split
2024 antlerless draw results.pdf,16,DA1045,"Antlerless Deer - Fillmore, Oak City - Archery",Totals 67 0 12 12 1 in 5.6 Totals 1 0 0 0 N/A,67;0;12;12;1;5;6;1;0;0;0,12,1,13,res_nr_split
2024 antlerless draw results.pdf,17,DA1046,"Antlerless Deer - Nine Mile, Price River Valley - Archery, Mzldr, Shotgn Only",Totals 91 0 20 20 1 in 4.6 Totals 2 0 0 0 N/A,91;0;20;20;1;4;6;2;0;0;0,20,2,22,res_nr_split
2024 antlerless draw results.pdf,18,DA1047,Two Doe Antlerless Deer - Vernal-ouray Valley - Any Legal Weapon,Totals 665 0 39 39 1 in 17.1 Totals 27 0 1 1 1 in 27.0,665;0;39;39;1;17;1;27;0;1;1;1;27;0,39,27,66,res_nr_split
2024 antlerless draw results.pdf,19,DA1048,Antlerless Deer - Fillmore City - Archery,Totals 52 0 11 11 1 in 4.7 Totals 2 0 1 1 1 in 2.0,52;0;11;11;1;4;7;2;0;1;1;1;2;0,11,2,13,res_nr_split
2024 antlerless draw results.pdf,20,DA1049,Antlerless Deer - Ashley Valley - Archery,Totals 96 0 64 64 1 in 1.5 Totals 3 0 2 2 1 in 1.5,96;0;64;64;1;1;5;3;0;2;2;1;1;5,64,3,67,res_nr_split
