reported_hunt_year,model_target_year,source_family,species,hunt_code,hunt_name,hunt_type,weapon,permits,hunters_afield,harvest,average_days,percent_success,hunter_satisfaction,male_harvest,female_harvest,unknown_harvest,total_harvest,quota,percent_female,percent_adult_male,percent_5plus,mean_age,spot_stalk_harvest,source_file,source_file_sha256,source_page,parse_status,data_quality_flags,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,raw_line,section
2022,2023,antlerless,Antlerless Deer,DA1001,"Box Elder, West Bear River",Antlerless Deer,"Archery, Muzzleloader, Shotgun",30,25,9,4.4,37.5,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1001 Box Elder, West Bear River Archery, Muzzleloader, Shotgun 30 25 9 37.5 4.4",
2022,2023,antlerless,Antlerless Deer,DA1002,"Box Elder, West Bear River",Antlerless Deer,"Archery, Muzzleloader, Shotgun",30,20,9,2.3,46.2,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1002 Box Elder, West Bear River Archery, Muzzleloader, Shotgun 30 20 9 46.2 2.3",
2022,2023,antlerless,Antlerless Deer,DA1026,Chalk Creek,Antlerless Deer,Any Legal Weapon,49,32,22,2.4,70.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,Antlerless Deer DA1026 Chalk Creek Any Legal Weapon 49 32 22 70.0 2.4,
2022,2023,antlerless,Antlerless Deer,DA1039,East Canyon,Antlerless Deer,Any Legal Weapon,25,17,13,2.2,72.7,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,Antlerless Deer DA1039 East Canyon Any Legal Weapon 25 17 13 72.7 2.2,
2022,2023,antlerless,Antlerless Deer,DA1040,East Canyon,Antlerless Deer,Archery,24,12,4,10.0,33.3,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,Antlerless Deer DA1040 East Canyon Archery 24 12 4 33.3 10.0,
2022,2023,antlerless,Antlerless Deer,DA1027,"East Canyon, Davis-North Salt Lake",Antlerless Deer,Archery,100,90,64,3.2,70.7,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1027 East Canyon, Davis-North Salt Lake Archery 100 90 64 70.7 3.2",
2022,2023,antlerless,Antlerless Deer,DA1028,"East Canyon, Davis-North Salt Lake",Antlerless Deer,Any Legal Weapon,49,41,20,2.8,48.4,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1028 East Canyon, Davis-North Salt Lake Any Legal Weapon 49 41 20 48.4 2.8",
2022,2023,antlerless,Antlerless Deer,DA1045,"Fillmore, Oak City",Antlerless Deer,Archery,14,9,5,1.2,50.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1045 Fillmore, Oak City Archery 14 9 5 50.0 1.2",
2022,2023,antlerless,Antlerless Deer,DA1003,"Monroe/Plateau, Sevier Valley",Antlerless Deer,"Archery, Muzzleloader, Shotgun",20,15,6,7.2,40.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1003 Monroe/Plateau, Sevier Valley Archery, Muzzleloader, Shotgun 20 15 6 40.0 7.2",
2022,2023,antlerless,Antlerless Deer,DA1041,"Nine Mile, Green River Valley",Antlerless Deer,Any Legal Weapon,6,4,2,2.0,50.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1041 Nine Mile, Green River Valley Any Legal Weapon 6 4 2 50.0 2.0",
2022,2023,antlerless,Antlerless Deer,DA1030,"Nine Mile, Price River Valley",Antlerless Deer,Archery,20,17,11,3.0,66.7,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1030 Nine Mile, Price River Valley Archery 20 17 11 66.7 3.0",
2022,2023,antlerless,Antlerless Deer,DA1046,"Nine Mile, Price River Valley",Antlerless Deer,"Archery, Muzzleloader, Shotgun",24,21,15,2.8,68.8,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1046 Nine Mile, Price River Valley Archery, Muzzleloader, Shotgun 24 21 15 68.8 2.8",
2022,2023,antlerless,Antlerless Deer,DA1031,"Oquirrh-Stansbury, Settlement Cyn",Antlerless Deer,Archery,25,24,13,4.5,56.2,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1031 Oquirrh-Stansbury, Settlement Cyn Archery 25 24 13 56.2 4.5",
2022,2023,antlerless,Antlerless Deer,DA1009,"Pine Valley, Enterprise",Antlerless Deer,Any Legal Weapon,20,15,15,1.5,100.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1009 Pine Valley, Enterprise Any Legal Weapon 20 15 15 100.0 1.5",
